"id","is_core","is_boundary"
"10fthf5glu_c",TRUE,FALSE
"10fthf_c",TRUE,FALSE
"10m3hddcaACP_c",TRUE,FALSE
"10m3hundecACP_c",TRUE,FALSE
"10m3oddcaACP_c",TRUE,FALSE
"10m3oundecACP_c",TRUE,FALSE
"10mddcaACP_c",TRUE,FALSE
"10mtddec2eACP_c",TRUE,FALSE
"10mundecACP_c",TRUE,FALSE
"11m3hddcaACP_c",TRUE,FALSE
"11m3oddcaACP_c",TRUE,FALSE
"11mddcaACP_c",TRUE,FALSE
"11mtddec2eACP_c",TRUE,FALSE
"12daihdglyc_c",TRUE,FALSE
"12daipdglyc_c",TRUE,FALSE
"12dgr120_c",TRUE,FALSE
"12dgr140_c",TRUE,FALSE
"12dgr141_c",TRUE,FALSE
"12dgr160_c",TRUE,FALSE
"12dgr161_c",TRUE,FALSE
"12dgr180_c",TRUE,FALSE
"12dgr181_c",TRUE,FALSE
"12dihdglyc_c",TRUE,FALSE
"12dipdglyc_c",TRUE,FALSE
"12ditdglyc_c",TRUE,FALSE
"12dixdglyc_c",TRUE,FALSE
"12m3hmyrsACP_c",TRUE,FALSE
"12m3htridecACP_c",TRUE,FALSE
"12m3omyrsACP_c",TRUE,FALSE
"12m3otridecACP_c",TRUE,FALSE
"12mmyrsACP_c",TRUE,FALSE
"12mtmrs2eACP_c",TRUE,FALSE
"12mtridecACP_c",TRUE,FALSE
"12ppd__S_c",TRUE,FALSE
"12ppd__S_e",TRUE,FALSE
"13dpg_c",TRUE,FALSE
"13m3hmyrsACP_c",TRUE,FALSE
"13m3omyrsACP_c",TRUE,FALSE
"13mmyrsACP_c",TRUE,FALSE
"13mtmrs2eACP_c",TRUE,FALSE
"13ppd_c",TRUE,FALSE
"13ppd_e",TRUE,FALSE
"14m3hpalmACP_c",TRUE,FALSE
"14m3hpentdecACP_c",TRUE,FALSE
"14m3opalmACP_c",TRUE,FALSE
"14m3opentdecACP_c",TRUE,FALSE
"14mpalmACP_c",TRUE,FALSE
